מחלקה,תפקיד,שכר,תאריך התחלה,תיאור מחלקה,גיל,מין,ניסיון קודם
Nvidia,Software Engineer,38,2020-08-23,מחקר ופיתוח של מוצרים וטכנולוגיות חדשות,29,זכר,כן
Nvidia,Software Engineer,40,2021-05-12,מחקר ופיתוח של מוצרים וטכנולוגיות חדשות,26,נקבה,לא
Nvidia,Team Leader,42,2025-12-05,מחקר ופיתוח של מוצרים וטכנולוגיות חדשות,34,זכר,כן
Nvidia,Team Leader,44,2022-01-20,מחקר ופיתוח של מוצרים וטכנולוגיות חדשות,32,נקבה,כן
Nvidia,System Architect,45,2022-03-23,מחקר ופיתוח של מוצרים וטכנולוגיות חדשות,41,זכר,כן
Nvidia,System Architect,47,2019-11-10,מחקר ופיתוח של מוצרים וטכנולוגיות חדשות,39,נקבה,כן
Google,Fullstack Developer,42,2023-09-06,תכנון בנייה ותחזוקה של מערכות תוכנה,31,נקבה,כן
Google,Fullstack Developer,39,2024-02-15,תכנון בנייה ותחזוקה של מערכות תוכנה,25,זכר,לא
Google,Backend Engineer,46,2019-12-20,תכנון בנייה ותחזוקה של מערכות תוכנה,38,זכר,כן
Google,Backend Engineer,45,2021-07-30,תכנון בנייה ותחזוקה של מערכות תוכנה,34,נקבה,כן
Google,DevOps Engineer,48,2025-03-19,תכנון בנייה ותחזוקה של מערכות תוכנה,35,זכר,כן
Google,DevOps Engineer,47,2022-08-12,תכנון בנייה ותחזוקה של מערכות תוכנה,33,נקבה,לא
Microsoft,Product Manager,35,2020-10-15,אפיון מוצרים ניהול מחזור חיי מוצר ואסטרטגיה,33,נקבה,כן
Microsoft,Product Manager,34,2023-04-10,אפיון מוצרים ניהול מחזור חיי מוצר ואסטרטגיה,29,זכר,לא
Microsoft,Senior PM,37,2022-03-08,אפיון מוצרים ניהול מחזור חיי מוצר ואסטרטגיה,36,נקבה,כן
Microsoft,Senior PM,40,2021-12-01,אפיון מוצרים ניהול מחזור חיי מוצר ואסטרטגיה,42,זכר,כן
Apple,UI Designer,40,2023-02-18,עיצוב ממשק משתמש UI וחווית משתמש UX,27,נקבה,לא
Apple,UI Designer,38,2024-05-20,עיצוב ממשק משתמש UI וחווית משתמש UX,26,זכר,לא
Apple,UX Researcher,44,2022-08-22,עיצוב ממשק משתמש UI וחווית משתמש UX,31,נקבה,כן
Apple,UX Researcher,42,2023-01-15,עיצוב ממשק משתמש UI וחווית משתמש UX,34,זכר,כן
Meta,Data Scientist,39,2025-11-11,ניתוח נתונים מתקדם סטטיסטיקה ולמידת מכונה,32,זכר,כן
Meta,Data Scientist,41,2022-09-05,ניתוח נתונים מתקדם סטטיסטיקה ולמידת מכונה,28,נקבה,לא
Meta,ML Engineer,45,2020-10-29,ניתוח נתונים מתקדם סטטיסטיקה ולמידת מכונה,35,זכר,כן
Meta,ML Engineer,44,2021-03-15,ניתוח נתונים מתקדם סטטיסטיקה ולמידת מכונה,33,נקבה,כן
Amazon,Logistics Manager,32,2021-08-08,ניהול תהליכי עבודה לוגיסטיקה ותפעול שוטף,42,נקבה,כן
Amazon,Logistics Manager,33,2020-11-12,ניהול תהליכי עבודה לוגיסטיקה ותפעול שוטף,45,זכר,כן
Amazon,Supply Chain Specialist,30,2023-04-30,ניהול תהליכי עבודה לוגיסטיקה ותפעול שוטף,27,זכר,לא
Amazon,Supply Chain Specialist,32,2022-06-18,ניהול תהליכי עבודה לוגיסטיקה ותפעול שוטף,29,נקבה,כן
Intel,Hardware Architect,34,2020-08-18,תכנון ופיתוח רכיבים פיזיים ומערכות חומרה,44,זכר,כן
Intel,Hardware Architect,36,2019-05-22,תכנון ופיתוח רכיבים פיזיים ומערכות חומרה,41,נקבה,כן
Intel,Verification Engineer,38,2021-06-06,תכנון ופיתוח רכיבים פיזיים ומערכות חומרה,33,נקבה,כן
Intel,Verification Engineer,35,2022-10-10,תכנון ופיתוח רכיבים פיזיים ומערכות חומרה,30,זכר,לא
Check Point,Security Researcher,34,2020-03-25,הגנה על מערכות מפני תקיפות וניתוח איומים,30,נקבה,כן
Check Point,Security Researcher,37,2019-08-14,הגנה על מערכות מפני תקיפות וניתוח איומים,35,זכר,כן
Check Point,Penetration Tester,36,2020-10-22,הגנה על מערכות מפני תקיפות וניתוח איומים,32,נקבה,כן
Check Point,Penetration Tester,35,2021-12-05,הגנה על מערכות מפני תקיפות וניתוח איומים,29,זכר,לא
